项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,40801元/平方米(按建筑面积计)楼层,24,房号,24A,用途,住宅,,建筑面积137.06平方米,户内面积,105.36平方米,分摊面积,31.7平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,41237元/平方米(按建筑面积计)楼层,24,房号,24B,用途,住宅,,建筑面积137.06平方米,户内面积,105.36平方米,分摊面积,31.7平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,40071元/平方米(按建筑面积计)楼层,24,房号,24C,用途,住宅,,建筑面积153.38平方米,户内面积,117.91平方米,分摊面积,35.47平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39676元/平方米(按建筑面积计)楼层,24,房号,24D,用途,住宅,,建筑面积153.38平方米,户内面积,117.91平方米,分摊面积,35.47平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,40047元/平方米(按建筑面积计)楼层,23,房号,23A,用途,住宅,,建筑面积78.88平方米,户内面积,59.96平方米,分摊面积,18.92平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,40483元/平方米(按建筑面积计)楼层,23,房号,23B,用途,住宅,,建筑面积78.88平方米,户内面积,59.96平方米,分摊面积,18.92平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,深(龙)网预买字(2019)27022号,拟售价格,--元/平方米(按建筑面积计)楼层,23,房号,23C,用途,住宅,,建筑面积88.71平方米,户内面积,67.43平方米,分摊面积,21.28平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39673元/平方米(按建筑面积计)楼层,23,房号,23D,用途,住宅,,建筑面积88.71平方米,户内面积,67.43平方米,分摊面积,21.28平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39996元/平方米(按建筑面积计)楼层,22,房号,22A,用途,住宅,,建筑面积78.88平方米,户内面积,59.96平方米,分摊面积,18.92平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,40433元/平方米(按建筑面积计)楼层,22,房号,22B,用途,住宅,,建筑面积78.88平方米,户内面积,59.96平方米,分摊面积,18.92平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39260元/平方米(按建筑面积计)楼层,22,房号,22C,用途,住宅,,建筑面积88.71平方米,户内面积,67.43平方米,分摊面积,21.28平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39623元/平方米(按建筑面积计)楼层,22,房号,22D,用途,住宅,,建筑面积88.71平方米,户内面积,67.43平方米,分摊面积,21.28平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39946元/平方米(按建筑面积计)楼层,21,房号,21A,用途,住宅,,建筑面积78.88平方米,户内面积,59.96平方米,分摊面积,18.92平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,40382元/平方米(按建筑面积计)楼层,21,房号,21B,用途,住宅,,建筑面积78.88平方米,户内面积,59.96平方米,分摊面积,18.92平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39210元/平方米(按建筑面积计)楼层,21,房号,21C,用途,住宅,,建筑面积88.71平方米,户内面积,67.43平方米,分摊面积,21.28平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,君华天第家园1号楼,座号,--,合同号,--,拟售价格,39572元/平方米(按建筑面积计)楼层,21,房号,21D,用途,住宅,,建筑面积88.71平方米,户内面积,67.43平方米,分摊面积,21.28平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
