项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46739元/平方米(按建筑面积计)楼层,32,房号,32A,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46339元/平方米(按建筑面积计)楼层,32,房号,32B,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46639元/平方米(按建筑面积计)楼层,32,房号,32C,用途,住宅,,建筑面积152.14平方米,户内面积,121.74平方米,分摊面积,30.4平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46789元/平方米(按建筑面积计)楼层,31,房号,31A,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46389元/平方米(按建筑面积计)楼层,31,房号,31B,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46689元/平方米(按建筑面积计)楼层,31,房号,31C,用途,住宅,,建筑面积152.14平方米,户内面积,121.74平方米,分摊面积,30.4平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46639元/平方米(按建筑面积计)楼层,30,房号,30A,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46239元/平方米(按建筑面积计)楼层,30,房号,30B,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46539元/平方米(按建筑面积计)楼层,30,房号,30C,用途,住宅,,建筑面积152.14平方米,户内面积,121.74平方米,分摊面积,30.4平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46489元/平方米(按建筑面积计)楼层,29,房号,29A,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46089元/平方米(按建筑面积计)楼层,29,房号,29B,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46389元/平方米(按建筑面积计)楼层,29,房号,29C,用途,住宅,,建筑面积152.14平方米,户内面积,121.74平方米,分摊面积,30.4平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46339元/平方米(按建筑面积计)楼层,28,房号,28A,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,45939元/平方米(按建筑面积计)楼层,28,房号,28B,用途,住宅,,建筑面积133.23平方米,户内面积,106.61平方米,分摊面积,26.62平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
项目楼栋情况,京基御景半山花园17栋,座号,--,合同号,--,拟售价格,46239元/平方米(按建筑面积计)楼层,28,房号,28C,用途,住宅,,建筑面积152.14平方米,户内面积,121.74平方米,分摊面积,30.4平方米,户内面积,--平方米,分摊面积--平方米,建筑面积,--平方米
